,Calificación
296,Antisemita
319,Indefinido
63,Negativo
289,Antisemita
316,Indefinido
194,Negativo
58,Negativo
258,Antisemita
82,Antisemita
96,Negativo
325,Indefinido
344,Indefinido
112,Negativo
60,Negativo
55,Negativo
9,Antisemita
294,Antisemita
227,Antisemita
24,Negativo
239,Indefinido
162,Negativo
73,Negativo
337,Indefinido
86,Antisemita
167,Negativo
161,Negativo
153,Negativo
71,Negativo
189,Negativo
137,Negativo
1,Negativo
346,Indefinido
148,Antisemita
106,Negativo
272,Antisemita
54,Antisemita
282,Antisemita
234,Antisemita
226,Antisemita
252,Antisemita
