Id: 208 | Indefinido
Id: 97 | Negativo
Id: 114 | Antisemita
Id: 6 | Antisemita
Id: 126 | Antisemita
Id: 52 | Negativo
Id: 167 | Negativo
Id: 131 | Indefinido
Id: 80 | Antisemita
Id: 187 | Negativo
Id: 218 | Negativo
Id: 267 | Antisemita
Id: 350 | Negativo
Id: 102 | Negativo
Id: 43 | Antisemita
Id: 56 | Antisemita
Id: 230 | Antisemita
Id: 186 | Antisemita
Id: 257 | Antisemita
Id: 348 | Negativo
Id: 310 | Antisemita
Id: 300 | Antisemita
Id: 192 | Negativo
Id: 1 | Antisemita
Id: 225 | Antisemita
Id: 47 | Negativo
Id: 343 | Indefinido
Id: 164 | Antisemita
Id: 307 | Antisemita
Id: 154 | Antisemita
Id: 152 | Antisemita
Id: 184 | Negativo
Id: 222 | Antisemita
Id: 339 | Negativo
Id: 315 | Indefinido
Id: 240 | Antisemita
Id: 322 | Indefinido
Id: 183 | Antisemita
Id: 105 | Antisemita
Id: 121 | Antisemita
