,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
296,297,446,Chile,12,Mayo,2021,La Tercera,"Fleur Hassan-Nahoum, vicealcaldesa de Jerusalén: “Esto no es un conflicto de territorio, esto es un ","El Gobierno Judio no aprendió nada de la tragedia del holocausto.Emplea métodos de exterminio peores: instala enclaves de pobladores en territorio palestino con guardias armados, construyo un muro de hormigón de  9 mts de altura a lo largo de Palestina; elimina opositores con Misiles de F16 en plena calle no importando quienes transiten en ese momento o demoliendo casas de los padres de árabes suicidas o ignorando decenas de resoluciones de la ONU que ordenaban terminar con los asentamientos.Esto nada tiene que ver con antisemismo sino con humanidad y respeto al pueblo palestino que cuando se hizo la partición del territorio se establecieron dos estados definidos geográficamente y para que convivan pacificamente. "
319,320,1415,Argentina,18,Marzo,2024,Clarín,Alemania no puede borrar su pasado nazi: el increíble pronóstico electoral si se votara hoy,"Se avivaron tarde , pero se avivaron ."
63,64,64,Uruguay,20,Mayo,2021,El País,Entró en vigor un alto el fuego entre Israel y Hamás en Gaza,"Es irónico que sea Egipto el que haya mediado.
Fue derrotado por Israel en la guerra de los 6 días, y ahora es un mediador de paz, no resulta creíble.
Esta guerra va a seguir, el terrorismo Israelí recién empieza, van a ocupar más territorio, poner más condiciones y los palestinos van a contestar a puro cohete."
289,290,434,Argentina,27,Abril,2022,La Nación,"Es argentino, se fue a vivir a Israel y cuenta la otra cara de su decisión: “Acá está bien visto tra",Lo felicito por su decisión... que además haya tenido ganas de irse con los de su raza.... está muy bien muchos judios lo están haciendo.....ahora cambiar a un moto chorro por un misilazo de un país en guerra... medio raro.....
316,317,1283,Argentina,29,Septiembre,2023,Clarín,El referente educativo de Javier Milei dijo que “si la Gestapo hubiera sido argentina“ habría matado,Patricia presidente!
194,195,195,Uruguay,15,Octubre,2023,Montevideo,"Ataque de Hamás en Israel dejó más de 1.400 muertos, según nuevo balance oficial","Israel en 3 dias mato a 724 niños, pero dicen que los terroristas son los palestinos"
58,59,59,Colombia,24,Agosto,2022,El Tiempo,Desierto de NÃ©guev. Imagen de referencia.,Mala información. Eso es Palestina
258,259,327,Uruguay,18,Febrero,2024,Montevideo,¿Un Estado palestino? Israel se niega de manera “rotunda” y Hamás responde,"Ellos no tenían Estado, ocuparon otro (con lo absurdo que es un argumento religioso!!!), lo fueron comiendo poco a poco y ahora pertenecen desaparecer al otro.Siglos y siglos de persecuciones, exterminios, éxodos, discriminaciones, expulsiones Terrible no haber aprendido a convivir y a respetar al otro. Terrible que los judíos sean gobernados por el sionismo!"
82,83,83,Uruguay,9,Mayo,2024,Montevideo,Israel bombardea Rafah pese a amenaza de EE. UU. de frenar su ayuda militar,viva palestina judios de mierda
96,97,97,Panamá,13,Mayo,2022,La Estrella,Policía israelí ataca a dolientes en sepelio de periodista palestina asesinada,"Ellos tienen un tratado de paz, deben atenerse a ese instrumento jurídico"
