Id: 188 | Negativo
Id: 149 | Indefinido
Id: 129 | Antisemita
Id: 250 | Antisemita
Id: 73 | Antisemita
Id: 341 | Negativo
Id: 221 | Antisemita
Id: 265 | Indefinido
Id: 209 | Negativo
Id: 305 | Antisemita
Id: 296 | Antisemita
Id: 190 | Negativo
Id: 294 | Antisemita
Id: 308 | Indefinido
Id: 241 | Negativo
Id: 4 | Antisemita
Id: 98 | Negativo
Id: 279 | Antisemita
Id: 189 | Negativo
Id: 118 | Negativo
Id: 62 | Antisemita
Id: 94 | Negativo
Id: 326 | Indefinido
Id: 220 | Negativo
Id: 115 | Antisemita
Id: 89 | Negativo
Id: 128 | Antisemita
Id: 287 | Negativo
Id: 130 | Indefinido
Id: 87 | Indefinido
Id: 70 | Negativo
Id: 280 | Antisemita
Id: 125 | Negativo
Id: 224 | Antisemita
Id: 156 | Indefinido
Id: 158 | Negativo
Id: 273 | Antisemita
Id: 238 | Antisemita
Id: 146 | Antisemita
Id: 117 | Antisemita
Id: 99 | Indefinido
Id: 54 | Indefinido
