,Calificación
175,Antisemita
230,Antisemita
255,Antisemita
318,Indefinido
51,Negativo
90,Negativo
219,Negativo
169,Negativo
286,Antisemita
168,Negativo
273,Antisemita
36,Antisemita
146,Negativo
246,Antisemita
283,Antisemita
307,Antisemita
287,Antisemita
33,Antisemita
331,Indefinido
177,Antisemita
13,Antisemita
235,Antisemita
29,Antisemita
209,Antisemita
15,Negativo
38,Negativo
176,Antisemita
265,Antisemita
345,Indefinido
184,Negativo
329,Indefinido
132,Negativo
261,Antisemita
353,Indefinido
7,Antisemita
12,Antisemita
98,Negativo
97,Negativo
32,Negativo
18,Negativo
149,Antisemita
117,Antisemita
247,Antisemita
320,Indefinido
326,Indefinido
52,Negativo
47,Negativo
285,Antisemita
244,Antisemita
178,Antisemita
173,Negativo
276,Indefinido
354,Indefinido
87,Negativo
186,Negativo
268,Antisemita
288,Antisemita
46,Antisemita
188,Negativo
259,Antisemita
180,Negativo
196,Negativo
101,Negativo
65,Negativo
328,Indefinido
201,Antisemita
80,Negativo
224,Antisemita
225,Antisemita
266,Indefinido
159,Antisemita
303,Indefinido
300,Antisemita
104,Negativo
310,Indefinido
281,Antisemita
284,Antisemita
68,Negativo
61,Antisemita
308,Indefinido
16,Antisemita
237,Antisemita
352,Indefinido
341,Indefinido
150,Negativo
210,Negativo
129,Negativo
330,Indefinido
83,Antisemita
172,Negativo
25,Antisemita
205,Negativo
37,Negativo
269,Antisemita
213,Antisemita
34,Negativo
158,Negativo
102,Negativo
84,Negativo
139,Negativo
50,Negativo
295,Antisemita
356,Indefinido
157,Negativo
216,Negativo
105,Antisemita
254,Antisemita
298,Antisemita
42,Negativo
256,Antisemita
119,Negativo
28,Negativo
53,Negativo
263,Antisemita
145,Negativo
302,Antisemita
280,Antisemita
91,Negativo
340,Indefinido
56,Antisemita
136,Negativo
107,Antisemita
200,Antisemita
23,Antisemita
166,Negativo
124,Indefinido
75,Antisemita
306,Antisemita
179,Negativo
131,Negativo
357,Indefinido
301,Antisemita
94,Negativo
211,Negativo
241,Indefinido
192,Negativo
332,Indefinido
305,Antisemita
315,Indefinido
236,Antisemita
293,Antisemita
271,Antisemita
163,Negativo
3,Antisemita
275,Antisemita
253,Antisemita
110,Negativo
66,Negativo
88,Negativo
270,Antisemita
115,Antisemita
249,Antisemita
141,Negativo
121,Antisemita
203,Antisemita
135,Negativo
257,Antisemita
21,Negativo
208,Negativo
240,Antisemita
198,Negativo
151,Negativo
155,Negativo
78,Negativo
338,Indefinido
74,Indefinido
156,Negativo
31,Negativo
185,Negativo
57,Negativo
126,Negativo
92,Negativo
111,Negativo
299,Antisemita
123,Negativo
220,Antisemita
274,Antisemita
228,Antisemita
183,Negativo
147,Negativo
221,Antisemita
313,Indefinido
67,Negativo
127,Negativo
22,Negativo
218,Negativo
39,Antisemita
277,Antisemita
79,Negativo
144,Negativo
49,Negativo
181,Antisemita
251,Antisemita
70,Negativo
250,Antisemita
242,Antisemita
95,Negativo
264,Antisemita
72,Negativo
108,Antisemita
170,Negativo
187,Negativo
122,Negativo
27,Negativo
335,Indefinido
190,Negativo
48,Negativo
304,Antisemita
197,Negativo
333,Indefinido
11,Negativo
174,Antisemita
297,Antisemita
62,Antisemita
35,Antisemita
212,Negativo
41,Antisemita
116,Negativo
232,Antisemita
278,Antisemita
336,Indefinido
8,Negativo
100,Antisemita
109,Negativo
324,Indefinido
267,Antisemita
45,Negativo
195,Negativo
152,Negativo
17,Negativo
76,Antisemita
222,Antisemita
138,Negativo
118,Antisemita
0,Negativo
130,Negativo
43,Antisemita
215,Negativo
142,Negativo
233,Antisemita
214,Antisemita
229,Antisemita
125,Negativo
85,Negativo
355,Indefinido
291,Antisemita
204,Antisemita
347,Indefinido
245,Antisemita
217,Antisemita
350,Indefinido
351,Indefinido
140,Negativo
120,Antisemita
309,Indefinido
30,Negativo
77,Antisemita
238,Antisemita
113,Negativo
64,Antisemita
290,Antisemita
165,Antisemita
349,Indefinido
312,Indefinido
199,Negativo
44,Antisemita
114,Antisemita
311,Indefinido
317,Indefinido
322,Indefinido
103,Negativo
69,Negativo
26,Negativo
59,Negativo
334,Indefinido
133,Antisemita
