Id: 0 | Antisemita
Id: 1 | Antisemita
Id: 2 | Antisemita
Id: 3 | Negativo
Id: 4 | Indefinido
Id: 5 | Indefinido
Id: 6 | Antisemita
Id: 7 | Antisemita
Id: 8 | Negativo
Id: 9 | Antisemita
Id: 10 | Negativo
Id: 11 | Negativo
Id: 12 | Antisemita
Id: 13 | Negativo
Id: 14 | Antisemita
Id: 15 | Negativo
Id: 16 | Antisemita
Id: 17 | Antisemita
Id: 18 | Negativo
Id: 19 | Negativo
Id: 20 | Negativo
Id: 21 | Antisemita
Id: 22 | Antisemita
Id: 23 | Negativo
Id: 24 | Antisemita
Id: 25 | Negativo
Id: 26 | Negativo
Id: 27 | Antisemita
Id: 28 | Antisemita
Id: 29 | Antisemita
Id: 30 | Negativo
Id: 31 | Antisemita
Id: 32 | Antisemita
Id: 33 | Negativo
Id: 34 | Antisemita
Id: 35 | Antisemita
Id: 36 | Antisemita
Id: 37 | Antisemita
Id: 38 | Negativo
Id: 39 | Antisemita
Id: 40 | Negativo
Id: 41 | Negativo
Id: 42 | Negativo
Id: 43 | Antisemita
Id: 44 | Negativo
Id: 45 | Negativo
Id: 46 | Antisemita
Id: 47 | Negativo
Id: 48 | Antisemita
Id: 49 | Antisemita
Id: 50 | Antisemita
Id: 51 | Negativo
Id: 52 | Antisemita
Id: 53 | Negativo
Id: 54 | Negativo
Id: 55 | Antisemita
Id: 56 | Negativo
Id: 57 | Antisemita
Id: 58 | Negativo
Id: 59 | Antisemita
Id: 60 | Negativo
Id: 61 | Antisemita
Id: 62 | Antisemita
Id: 63 | Antisemita
Id: 64 | Antisemita
Id: 65 | Antisemita
Id: 66 | Negativo
Id: 67 | Antisemita
Id: 68 | Antisemita
Id: 69 | Antisemita
Id: 70 | Antisemita
Id: 71 | Negativo
Id: 72 | Indefinido
Id: 73 | Negativo
Id: 74 | Antisemita
Id: 75 | Antisemita
Id: 76 | Antisemita
Id: 77 | Negativo
Id: 78 | Negativo
Id: 79 | Antisemita
Id: 80 | Antisemita
Id: 81 | Antisemita
Id: 82 | Antisemita
Id: 83 | Indefinido
Id: 84 | Negativo
Id: 85 | Negativo
Id: 86 | Antisemita
Id: 87 | Negativo
Id: 88 | Antisemita
Id: 89 | Antisemita
Id: 90 | Indefinido
Id: 91 | Antisemita
Id: 92 | Antisemita
Id: 93 | Antisemita
Id: 94 | Antisemita
Id: 95 | Antisemita
Id: 96 | Negativo
Id: 97 | Negativo
Id: 98 | Negativo
Id: 99 | Antisemita
