,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
175,176,176,Chile,13,Mayo,2021,Biobio,"
    Ejército israelí rectifica: no han cruzado frontera de Gaza por tierra
",El cobarde ejército judio-sionista
230,231,247,Argentina,17,Enero,2022,La Nación,¿Quién traicionó a Ana Frank? Un libro revela uno de los grandes misterios de la Segunda Guerra Mund,ya esta demostrado que el libro de ana frank no lo escribio ella sino el padre $$$$$$$$$$$$$$$ HAVA NAGILA HAAAVAAAAAAAAAAAAAAAAAAAAAA
255,256,322,Colombia,17,Diciembre,2022,El Tiempo,Admiro al pueblo judío,"Primero que todo se llama Palestina ese territorio y así se le conoce desde el siglo V a.e.c., segundo no hay nada antropológicamente que sea pueblo judío, ese es un término para quien practique el judaísmo , israel surge como un proyecto colonial del sionismo y que generó una limpieza étnica."
318,319,1343,Chile,7,Marzo,2022,Biobio,"
    Grupo neonazi ucraniano aseguró haber torturado a luchador MMA de su país: por ""judío"" y ""apolí",Me huele a propaganda rusa
51,52,52,Argentina,5,Enero,2024,Clarín,Renunció el vicepresidente de la DAIA Sergio Pikholtz tras su polémica frase “no hay civiles inocent,El genocidio de israel quedará en la memoria y plasmado por la historia por los siglos de los siglos. Amén
90,91,91,Argentina,25,Octubre,2023,La Nación,Cómo Israel se prepara para “el patio de juegos del Diablo” de una guerra urbana en Gaza,"700.000 personas hacinadas en unos 50 kilómetros cuadrados,  Entonces en CABA que somos 3.200.000 en 200 km2??  Nadie dice que estemos hacinados.  En Gaza son 14.000 habitantes por km2, en CABA estamos peor, somos 16.000 por km2."
219,220,220,Uruguay,15,Mayo,2021,Montevideo,El primer ministro de Israel destacó apoyo de gobierno uruguayo en conflicto con Palestina,@edinzito que vayan a rendir cuentas de los cientos de niños y mujeres palestinos muertos. Si serán sinvergüenzas que tiraron abajo los edificios de prensa nacional e internacional para tapar todo. Se ve que no se enteró que están condenados a su desaparición antes de nacer. Lamentablemente buscaron ser víctimas como en toda su historia. Ojo que irán los tienen en la mira y no son ningunos improvisados. El colono impuesto por occidente lo tiene muy claro que es cuestión de tiempo.
169,170,170,Chile,27,Diciembre,2023,Biobio,"
Israel continúa su ofensiva por aire, mar y tierra contra la devastada Franja de Gaza
","ya avisaron que empiezen a salir del centro de gaza, con eso llevarian 2/3 de gaza capturada."
286,287,425,Argentina,11,Diciembre,2023,Clarín,Tel Aviv y Jerusalén a 70 días del comienzo del horror: cómo se vive hoy en las dos grandes ciudades,No podrán vivir nunca en paz en ningún lugar del mundo.  Sigan con esas ideas shio nis Taz… q así les va.
168,169,169,Uruguay,22,Mayo,2021,Montevideo,"B'nai B'rith respondió al FA: “Pide objetividad, pero presenta hechos distorsionados”",Y a quien le importa lo que piense o diga esta organización sionista?
273,274,371,Chile,7,Septiembre,2023,Biobio,"
Presidente de Palestina afirmó que Hitler masacró a los judíos por su ""usura"" y no por ""antisemitis","El sionismo controla la masonería, el sistema bancario corrupto, el narcotráfico, controla Hollywood, las mafias, la trata de personas y órganos, la farmacéuticas, la alimentación, la dialectica de la WWII, etc, etc... al fin se sacan los velos a la opinión pública"
36,37,37,Panamá,20,Diciembre,2021,La Estrella,"El Gobierno de Israel incluye diez países, entre ellos EEUU y Alemania, en su 'lista roja'",IsraHell
146,147,147,Chile,21,Diciembre,2022,Biobio,"
Israel: primer ministro Netanyahu logra formar coalición de gobierno
","Los neonazis seguiran en el poder en Israel . Obvio que con la ayuda de los EE.UU. .

Por lo tanto seguirá el genocidio palestino ."
246,247,298,Uruguay,12,Marzo,2024,Montevideo,Denunciaron episodio antisemita en la marcha del 8M e identificaron a los responsables,"Un narco-estado corrupto sionista agendista 2030 con la tasa de homicidios mas alta del continente y el sistema judicial mas corrupto entre sus grandes virtudes,  ejemplo en la region y en el mundo?Antisemita? (Amelaninicos semitas es medio sospechoso)Palestina libre?(crimen)Reparo economico?Que nadie vaya preso?Mmmmmnnnnnnnnnnn..."
